% Input-file of boundary-elements for Dirichlet-boundary mesh shown  
% in Fig. 6 of the paper "Remarks around 50 lines of Matlab: 
% Short finite element implementation" by J. Alberty, C. Carstensen 
% and S. A. Funken.
%
% boundary-element  /  1-node  /  2-node  /  3-node  
%
   1 2172 3659 2465
   2 3667 3666 2478
   3  132  133  134
   4  152  153  154
   5  132  134  331
   6  176  177  178
   7  152  154 1597
   8  185  186  187
   9  176  178 3373
  10  489  434 1645
  11  902  447 3418
  12 3422  483  521
  13 3608 3618 3611
  14  388 3610  390
  15 2172 2465 3612
  16 2225 3672 2469
  17  459 2470  528
  18 3667 2478 3671
  19 2159 2212 3664
  20  489 1645  492
  21 2211 3278  407
  22 2211  407  405
  23  189  190  191
  24 2675  378 3052
  25  388  390  391
  26 3390 3587  277
  27 3279  490 3280
  28  432  903  472
  29  554  433 3270
  30  902 3418  474
  31  445 3428  513
  32  508  446  509
  33 3422  521  514
  34  274 1612  395
  35 2728  590  595
  36  598  600  594
  37  274  395  524
  38 2476 3658  569
  39 3655 2160 3657
  40  519  482  591
  41  481  942  530
  42  571 1657  597
  43 2159 3664 2162
  44  519  591  592
  45  593 2788 3094
  46  571  597 3711
  47  392  363 2789
  48  328 2644  588
  49  694 3180  674
  50  470  493 3084
  51  604  562  605
  52  508  509  574
  53  362  350 3078
  54  579  479  580
  55  328  588  349
  56  554 3270  555
  57  470 3084  566
  58  586 2676  714
  59 2675 3052  713
  60  620  556  621
  61 3405  461 3406
  62  567  622  683
  63  567  683  568
  64 2476  569 3089
  65  564 3085  682
  66 1914  460 1916
  67  511  520  675
  68  723  676  724
  69  519  592  602
  70  694  674  695
  71 2476 3089  540
  72  586  714  721
  73 2476  540 2477
  74 3086  719 3096
  75  538 3088 3454
  76  604  605  718
  77  538 2692  539
  78  459  528  532
  79 3077  587 3100
  80  684 2884  742
  81  538 3454 2804
  82  538 2804  721
  83  694  695  647
  84  632  633 2679
  85  632 2679  724
  86 3407 3720 2817
  87 1506 1507 1508
  88   24 3720 1653
  89 1506 1500 1507
  90 1793 1510 3575
  91 1498 3595 3575
  92 2443 1782 2444
  93 1791 2625 1792
  94 2776 2434 3550
  95 1409 2625 2056
  96 1791 2425 3693
  97 1669 1495 1777
  98 3409  696 1671
  99    9 1495   13
 100   32  835  836
 101 2053 1503 1769
 102 2443 2444 2445
 103 2443 2445 1837
 104   53  476  467
 105   53   52   67
 106   66   49   77
 107   66   77   46
 108   75 1288   76
 109 1939 1561 1533
 110 2128 2456 1806
 111 3186 2450 3187
 112 2407 2456 2166
 113 2448 2450 3549
 114 3186 3251 3452
 115    5  667 3294
 116 3323 3606 3322
 117  666  667  668
 118 1939 1533 1844
 119 1259 2786 1068
 120   53   67  476
 121 2905  859 2907
 122 1436 1437 1439
 123  267 2647 1439
 124 2926 2661  180
 125  254  212 2507
 126  254 2507  166
 127  238 3570 3580
 128 2699 3703 3316
 129 1873 1874 3713
 130  124  126  125
 131 3356 3570 1480
 132  172 3583  174
 133  172  174 2593
 134  172 2593 2592
 135 3661 2700 3702
 136 2650 3383  240
 137 2650  240 3384
 138 2650 3384  252
 139  254  255  212
 140 2657 3385  256
 141  197 3175 1809
 142 1598 2647 1809
 143 1050 3075  268
 144 3651 2885 2691
 145  267 1874  268
 146  238  239 3316
 147 2926 2927 2659
 148 2926 2659 2661
 149 2653 2484 2655
 150 3179 3383 2655
 151  250 3385 2468
 152 2657 3175 3355
 153 2657 3355  122
 154 1050 2663 3075
 155 1050 2885 2489
 156 3661 3702 3705
 157  250 3696  252
 158  144  146  145
 159 2662 2663 3698
 160 2653 2654 2523
 161 2522 3696 2466
 162 2225 2470 3659
