% Input-file of boundary-elements for Neumann-boundary shown in 
% Fig. 6 of the paper "Remarks around 50 lines of Matlab: 
% Short finite element implementation" by J. Alberty, C. Carstensen 
% and S. A. Funken.
%
% boundary-element  /  1-node  /  2-node  /  3-node  
%
    1 2480 2566 2019
    2 2040 2034 2041
    3 2028 2029 2030
    4 2549 3642 2052
    5  128  161 3367
    6 1591  129 1593
    7 2509 2521 2983
    8  128 3367  131
    9 2237 2110 2543
   10  412  333 1635
   11 3058 1610 3605
   12 2304 2152 2303
   13 3608 3609 3618
   14 2627 2917 2916
   15 2225 3659 2182
   16 2133 2134 2135
   17 2480 2019 2481
   18 2040 2041 2042
   19 2564 3701 2528
   20 2211 2212 2213
   21 3655 3666 2171
   22 2157 2069 2253
   23 2404 2405 2630
   24   91   93 3349
   25 3408 2044 2985
   26 2549 2550 3592
   27 3408 2985 2051
   28 3560 3713 3602
   29 2616 2618 2619
   30   15   16 3337
   31  408  410  543
   32  502  544  505
   33 3446 2239 3011
   34  412  415  413
   35 3347  102 3346
   36  998 3606 1753
   37  998 1753 3448
   38 3409 3709  404
   39 2483 3705 2486
   40  998 3448 3237
   41 2576 2577 2578
   42 3409  404 3597
   43 3323   16 3605
   44 3058  417 3411
   45  332  503 3425
   46 2168 2220 2252
   47 2157 2253 3670
   48 3667 3672 2251
   49 2249 2226 3669
   50 2172 2173 2174
   51 2032 2532 2033
   52 2157 3670 2135
   53 2168 2170 2171
   54   91 3349 2510
   55 2564 2528 2020
   56 3010 2238 2542
   57 2304 2303 2540
   58 3058 3411 2541
   59 2526 3663 2075
   60  332 3425  335
   61 2159 2160 2161
   62 2180 2554 3669
   63  160 3395  163
   64 2108 2559 2109
   65  160  313 3395
   66 3651 2137 2691
   67 2904 2902 2903
   68 2549 2052 2550
   69 2108 2454 2559
   70 2699 2558 2700
   71 1479 2582 3703
   72  412 1635  415
   73 3620 3686 3261
   74 1688 3619 1690
   75 3620 3261 1825
   76  678  343 1622
   77 3341 2639 2091
   78  708  535 1656
   79  142  283  705
   80  735  576 1658
   81  193  357 3398
   82  761  617 1663
   83  230  380  741
   84  793  663 3450
   85  308  397 2629
   86 1683  814 1691
   87  365  419 3413
   88 2611  140 2612
   89 1815 2255 2935
   90  142  705  143
   91  282  194 1613
   92 3307  285 3308
   93  193 3398  196
   94  356  231 3382
   95 1623  359 1624
   96  230  741  233
   97  379  309 1625
   98 1786  382 1787
   99  308 2629  311
  100  396  366 3400
  101 1629  399 1630
  102  365 3413  368
  103   79 3325  469
  104 2150 2152 3680
  105 2304 3609 1628
  106 3069 2462 3695
  107  388  190 1627
  108 2353 2442 2437
  109 3069 3695 2438
  110  189  133 1595
  111  132  153 3366
  112 2416 2351 2417
  113  176  186  179
  114 1823 3044 1728
  115 3390  839 3388
  116 3330   38 3329
  117 2905  845 1789
  118 1688 1690 1776
  119   36  859  469
  120   79 3365  150
  121   71   73   88
  122 2589   85 3342
  123 2589 3342 1817
  124  534  679 3453
  125 3363  681 2935
  126  575  709 2620
  127  616  736 1679
  128 3362  738 1624
  129  616 1679  619
  130   36 1790   34
  131 2814  835 2816
  132  662  762 3465
  133 3394  764 1787
  134  662 3465  665
  135  813  794 3471
  136 1680  796 1630
  137   32   33   34
  138  708 1656  711
  139  575 2620  578
  140   87   89  345
  141 3390 3388 3587
  142  534 3453  537
  143  185 3585  188
  144  813 3471  816
  145 3271  192 2464
  146 2304 1628 3297
  147 2436  135 2440
  148 2353 2437 3691
  149  152  177 3371
  150 2905 1789 3617
  151 2814 2816 1727
  152  418  422 2643
  153 2460 2302 2461
  154  418 2643  421
  155  152 3371  155
  156 2416 2417 3043
  157 2627 2917 2915
  158 2353 2442 2441
  159 3620 3686 2575
  160 2353 2441 2352
  161 2761 3438  205
  162  156 2762  217
  163 2761  205  216
  164 2150 2151 2153
  165 2460 3680 3317
  166 2627 2915 2628
  167 2480 2566 3637
  168  156  217  271
  169 2564 3701 2562
  170 3069 2462 3071
  171 3380 3070  287
  172 2460 3317 2463
  173  201  259  346
  174  258  299  260
  175 1688 3619 1689
  176  298 1821  170
  177 2092 1834 1833
  178 2564 2562 2429
  179 2560 2769  272
  180  304 2922 2968
  181 2133 2134 2136
  182 2430 2432 2431
  183  168 3268  369
  184 2457 2458  228
  185 1820 2093 2604
  186  168  369  371
  187  226  227  338
  188  201  346  303
  189  214  302  360
  190  168  371  347
  191  304 2968  342
  192 2665  372 2667
  193  242  244  243
  194  226 3706  228
  195 2430 2431  317
  196  340  341 2667
  197  336  337  288
  198  286  306 2770
  199 2430  317 2666
  200  336  288 2669
  201  765  766  767
  202  777  778  779
  203  809  810  811
  204  817  818  819
  205   91 2405  265
  206  104   93 3343
  207  263 2684  264
  208  765  767  791
  209  880 3712 2681
  210  797  798  799
  211  809  811 2682
  212 2694 2685 3048
  213  860  861  862
  214   83   85   86
  215  278  279  280
  216 2589   73 2590
  217 3116 1616 2591
  218 2686 2687 2688
  219  847 3728  848
  220  829  849  832
  221 1165 1166 1167
  222 2589 2590 2591
  223  824 1478 3569
  224  860  862 3115
  225 1614 1616  295
  226 2680  803  799
  227  319  320  321
  228 2694 3048  825
  229   91  265 3386
  230  797  805  806
  231  234   92  236
  232 1053  887 1693
  233 1053  833  826
  234 2040 2034 2391
  235 3408 2044 2397
  236 2040 2391  386
  237 2549 3642 3232
  238 3408 2397  402
  239  463 3592  465
  240 3421  464  888
  241 2549 3232 1649
  242  765  766  768
  243  809  810  812
  244  294  295  297
  245 2092 2093   97
  246  298  299 3046
  247 2761 2762  496
  248 2611  140  689
  249  282  194  717
  250  356  231  732
  251  379  309  744
  252  396  366  758
  253  418  422 2642
  254 2108 2454 2453
  255 2586 2719  627
  256 2237 2110 2422
  257 2108 2453  487
  258 3446 2239 2447
  259 2237 2422  500
  260 2576 2577 2471
  261 3446 2447  630
  262 1607 3607  223
  263 2576 2471 1754
  264 2084  954  959
  265  545 3716  383
  266 2032 2630  437
  267  930 2390  438
  268 2404  506 2631
  269 3421  888  890
  270 3421  890 3715
  271  263 2684  906
  272  436  507 2702
  273  765  768  792
  274  880 3712  882
  275 2810  881 1033
  276  809  812 2690
  277 2694 2685 2696
  278  658 2695 1002
  279  294  297 1045
  280 1614   86 2504
  281 1614 2504 1617
  282 1688 1689 3325
  283 1820 1821 1774
  284   95   96 3336
  285  298 3046 1641
  286  258 3438  560
  287 2840 3047 2842
  288 2761  496  559
  289 2560 2561 1608
