%COORDINATES.DAT  data file for vertices.
% Input-file of vertices for mesh shown in Fig. 7 of the paper 
% "Matlab-Implementation of the Finite Element Method in Elasticity" by
% J. Alberty, C. Carstensen, S. A. Funken, and R. Klose.
%
% x-coordinate   / y-coordinate
% 
 3.00000000   0.00000000
 2.00000000   0.00000000
 1.41000000   0.00000000
 0.99702056   0.99702056
 0.00000000   1.41000000
 0.00000000   2.00000000
 0.00000000   3.00000000
 1.00000000   3.00000000
 2.00000000   3.00000000
 3.00000000   3.00000000
 3.00000000   2.00000000
 3.00000000   1.00000000
 2.00000000   1.00000000
 2.00000000   2.00000000
 1.00000000   2.00000000
 1.70500000   0.50000000
 1.70500000   0.00000000
 2.00000000   0.50000000
 1.50000000   1.00000000
 1.30233640   0.54038856
 0.50000000   1.70500000
 0.54038856   1.30233640
 1.00000000   1.50000000
 0.50000000   2.00000000
 0.00000000   1.70500000
 2.50000000   0.00000000
 3.00000000   0.50000000
 2.50000000   1.00000000
 3.00000000   1.50000000
 2.50000000   2.00000000
 2.00000000   1.50000000
 1.50000000   2.00000000
 3.00000000   2.50000000
 2.50000000   3.00000000
 2.00000000   2.50000000
 1.50000000   3.00000000
 1.00000000   2.50000000
 0.50000000   3.00000000
 0.00000000   2.50000000
 2.50000000   0.50000000
 2.50000000   1.50000000
 1.50000000   1.50000000
 2.50000000   2.50000000
 1.50000000   2.50000000
 0.50000000   2.50000000
 1.85250000   0.25000000
 1.85250000   0.50000000
 1.70500000   0.25000000
 1.85250000   0.75000000
 2.00000000   0.75000000
 1.55750000   0.25000000
 1.55750000   0.00000000
 1.85250000   0.00000000
 2.00000000   0.25000000
 1.60250000   0.75000000
 1.40116820   0.77019428
 1.50366820   0.52019428
 1.38282220   0.27550465
 1.75000000   1.00000000
 1.17213000   0.78371624
 1.24851030   0.99851028
 0.75000000   1.60250000
 0.52019428   1.50366820
 0.77019428   1.40116820
 0.75000000   1.85250000
 1.00000000   1.75000000
 0.25000000   1.55750000
 0.27550465   1.38282220
 0.78371624   1.17213000
 0.99851028   1.24851030
 0.25000000   1.85250000
 0.25000000   1.70500000
 0.50000000   1.85250000
 0.00000000   1.55750000
 0.75000000   2.00000000
 0.25000000   2.00000000
 0.00000000   1.85250000
 2.25000000   0.00000000
 2.50000000   0.25000000
 2.25000000   0.50000000
 2.75000000   0.00000000
 3.00000000   0.25000000
 2.75000000   0.50000000
 3.00000000   0.75000000
 2.75000000   1.00000000
 2.50000000   0.75000000
 2.25000000   1.00000000
 2.50000000   1.25000000
 2.25000000   1.50000000
 2.00000000   1.25000000
 3.00000000   1.25000000
 2.75000000   1.50000000
 3.00000000   1.75000000
 2.75000000   2.00000000
 2.50000000   1.75000000
 2.25000000   2.00000000
 2.00000000   1.75000000
 1.50000000   1.25000000
 1.25000000   1.50000000
 1.75000000   1.50000000
 1.75000000   2.00000000
 1.50000000   1.75000000
