res = 97 97 97
center = 0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00
lengths = 3.06185579299926757812e+00 3.06185579299926757812e+00 3.06185579299926757812e+00
total roots = 178
roots size = 178
(0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
(-9.38467025756835937500e-01 7.82788038253784179688e-01 1.16501522064208984375e+00 0.00000000000000000000e+00)
(1.19617700576782226562e+00 -2.80407905578613281250e-01 -2.72275924682617187500e-01 0.00000000000000000000e+00)
(-1.22716325521469116211e+00 -7.10731744766235351562e-01 8.00253868103027343750e-01 0.00000000000000000000e+00)
(4.65695858001708984375e-02 4.95225906372070312500e-01 1.36917114257812500000e+00 0.00000000000000000000e+00)
(1.23824715614318847656e+00 -3.74136567115783691406e-01 -1.27734529972076416016e+00 0.00000000000000000000e+00)
(-8.84387969970703125000e-01 -7.80271887779235839844e-01 -1.39854347705841064453e+00 0.00000000000000000000e+00)
(9.70081329345703125000e-01 9.02214050292968750000e-02 5.07640838623046875000e-02 0.00000000000000000000e+00)
(-1.01820743083953857422e+00 -1.60882472991943359375e-02 -1.38908892869949340820e+00 0.00000000000000000000e+00)
(4.98451471328735351562e-01 -1.05951249599456787109e+00 -3.56523513793945312500e-01 0.00000000000000000000e+00)
(-1.30510473251342773438e+00 3.37362289428710937500e-02 -4.54882144927978515625e-01 0.00000000000000000000e+00)
(-1.10999596118927001953e+00 9.72653627395629882812e-01 1.33604812622070312500e+00 0.00000000000000000000e+00)
(1.20829105377197265625e+00 8.01005363464355468750e-02 -1.10815942287445068359e+00 0.00000000000000000000e+00)
(8.38193893432617187500e-01 -3.62586736679077148438e-01 2.74463653564453125000e-01 0.00000000000000000000e+00)
(-8.28672647476196289062e-02 -1.02217280864715576172e+00 -1.36692106723785400391e+00 0.00000000000000000000e+00)
(-1.35084360837936401367e+00 -9.17154669761657714844e-01 1.86740636825561523438e-01 0.00000000000000000000e+00)
(-1.16800117492675781250e+00 -1.02146494388580322266e+00 3.95614862442016601562e-01 0.00000000000000000000e+00)
(-5.03589510917663574219e-01 -7.59400725364685058594e-01 -2.81977653503417968750e-03 0.00000000000000000000e+00)
(-4.67297434806823730469e-01 4.81445074081420898438e-01 -1.40193116664886474609e+00 0.00000000000000000000e+00)
(-1.10987007617950439453e+00 -9.14940834045410156250e-02 9.10270214080810546875e-01 0.00000000000000000000e+00)
(1.41211271286010742188e+00 -5.00813841819763183594e-01 -9.58144187927246093750e-01 0.00000000000000000000e+00)
(-5.58238029479980468750e-01 -6.27708435058593750000e-03 1.14886665344238281250e+00 0.00000000000000000000e+00)
(6.25153541564941406250e-01 -8.36944818496704101562e-01 -1.36584883928298950195e+00 0.00000000000000000000e+00)
(-1.36257624626159667969e+00 -4.00448083877563476562e-01 8.45318794250488281250e-01 0.00000000000000000000e+00)
(-1.16740977764129638672e+00 5.09168148040771484375e-01 1.07379627227783203125e+00 0.00000000000000000000e+00)
(-9.16504621505737304688e-01 1.13207817077636718750e+00 1.25945901870727539062e+00 0.00000000000000000000e+00)
(1.66594982147216796875e-02 3.06067466735839843750e-01 1.34644985198974609375e-01 0.00000000000000000000e+00)
(-2.92745351791381835938e-01 1.77078485488891601562e-01 1.34115791320800781250e+00 0.00000000000000000000e+00)
(-1.08984333276748657227e+00 2.79034614562988281250e-01 -4.59095597267150878906e-01 0.00000000000000000000e+00)
(7.64325380325317382812e-01 4.91435527801513671875e-01 -5.00808835029602050781e-01 0.00000000000000000000e+00)
(-8.20994615554809570312e-01 -5.12863755226135253906e-01 8.80836248397827148438e-01 0.00000000000000000000e+00)
(-2.42487907409667968750e-01 5.48188924789428710938e-01 -1.31543487310409545898e+00 0.00000000000000000000e+00)
(-1.27978891134262084961e+00 -5.24850368499755859375e-01 -5.49959897994995117188e-01 0.00000000000000000000e+00)
